GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
MAGEC2	0	0	0
PREX2	0	0	0
WDR37	3.71	5.3	5.62
YTHDC2	3.78	2.67	2.59
CTPS2	1.57	2.88	3.75
ATP6V1H	6.42	12.29	7.06
POLR2B	15.18	12.44	14.94
FAM214A	1.95	3.68	3.04
ARAP2	1.52	2.55	2.78
TPR	7.43	6.95	7.32
CP	0	0.15	0.14
KIAA0556	5.42	2.78	4.71
DTNBP1	1.82	2.03	2.89
XK	3.1	2.25	2.29
ANO2	0.04	0	0
C12orf4	0.98	1.48	1.21
SCML1	0.21	0.47	0.86
WWC3	1.89	2.63	2.18
ARHGAP6	0	0	0.11
FAM184B	0	0	0
MAP4	18.61	22.58	20.83
GOPC	1.85	1.57	1.71
ROS1	0	0	0
USP28	0.88	1.77	1.66
HDAC9	7.83	15.13	16.87
TSPAN17	3.12	2.86	2.33
NOP16	5.96	1.17	0.87
CC2D2A	0.34	1.34	0.12
RRM2B	4.61	6.89	14.5
ZNF800	3.32	3.68	5.29
TNFRSF17	0	0	0.17
SNX29	0.12	1.11	0.39
LMO3	0	0.02	0
MRPS10	6.14	5.4	4.98
GUCA1A	0	0	0
RSF1	6.52	10.53	12.06
VPS13D	9.7	14.02	9.33
CELF2	1.01	2.18	1.01
FAM120A	24.57	17.21	16.42
R3HDM1	1.39	0.77	1.81
COL9A2	0.2	0.53	0.33
KITLG	0.65	0.74	0.99
ERCC8	0.51	0.63	0.19
ADAMTS6	0	0	0.07
H6PD	1.76	2.48	2.2
VAMP3	12.29	16.99	15.43
PER3	1.44	0.66	1.01
UTS2	0	0	0
TNFRSF9	0.01	0	0.25
EPN3	0.42	1.26	0.58
LTBP1	3.64	2.57	3.1
RCN1	8.04	4.76	5.48
ELN	0	0	0
RFC2	0.17	1.27	1.37
ARID1B	9.19	15.06	16.94
CLPTM1L	21.34	27.5	28.15
NEDD4L	22.32	26.28	29.84
FOXP3	0	0.04	0.02
PPP1R3F	0.16	0.68	0.46
HEXB	33.04	40.33	40.64
PTCD2	0.16	0.38	0.16
NEXMIF	0	0	0
JKAMP	6.28	9.07	7.26
DKK3	1.06	1.14	1.19
ARHGEF5	18.21	20.67	20.08
NFE2L3	4.73	8.87	9.3
MCUR1	6.58	7.49	5.98
LIMA1	156.25	135.76	157.12
LETMD1	13.42	15.05	13.56
SLC4A8	2.41	0.09	1.27
LAMC3	0	0	0
PTGER3	0	0	0
TNIP3	0.04	0	0.02
